CORSA,,,302,304,460,502,306,310,390,316,320,318,334,406,322,324,326
CADENZA,,,FI5,FI5,SC5,SC5,FI5,FI5,FI5,SC5,SC5,SC5,SC5,SC5,SC5,FI5,FI5
DG142,DAIRAGO,V. Damiano Chiesa civ.11,,,07:08,,,,,,,,,,,,
DG097,DAIRAGO,Via Verdi n.24,,,07:10,,,,,,,,,,,,
AC625,ARCONATE,Via Concordia n.9,06:30,06:50,,,07:20,08:35,09:30,,12:45,14:00,,14:30,15:05,15:45,16:10
AC627,ARCONATE,Via Legnano n. 28,06:32,06:52,,,07:22,08:37,09:32,,12:47,14:02,,14:32,15:07,15:47,16:12
VC005,Villa C.,Via Canova ang.V.Buonarroti,,,07:15,,,,,,,,,,,,
VC006,Villa C.,Via Canova ang.V.Perugino,,,07:17,,,,,,,,,,,,
BT701,Busto G.,Via Curiel,,,07:20,07:20,,,,,,,,,,,
BT702,Busto G.,Via Don Longoni ang.v.Cellini,,,07:21,07:21,,,,,,,,,,,
BT205,Busto G.,Via Busto A. fr Civ.48,06:36,06:56,,07:23,07:26,08:41,09:36,11:40,12:51,14:06,14:33,14:36,15:11,15:51,16:16
BT947,Busto G.,Via Buonarroti civ 3,,,07:23,,,,,,,,,,,,
BT775,Busto G.,Via Giacomo Rossini civ.35,06:39,06:59,07:25,07:25,07:29,08:44,09:39,11:43,12:54,14:09,14:36,14:39,15:14,15:54,16:19
BT400,Busto G.,Via Matteotti 6,06:40,07:00,07:28,07:27,07:30,08:45,09:40,11:44,12:55,14:10,14:37,14:40,15:15,15:55,16:20
BT211,Busto G.,Via Parabiago n.32,06:41,07:01,07:29,07:28,07:31,08:46,09:41,11:45,12:56,14:11,14:38,14:41,15:16,15:56,16:21
PB701,PARABIAGO,Viale Lombardia FRONTE EuroSpin,06:49,07:10,07:42,07:40,07:42,08:54,09:49,11:55,13:06,14:21,14:48,14:51,15:24,16:04,16:29
PB090,PARABIAGO,autostazione PARK FS,06:51,,,,,08:56,09:51,,,,,,15:26,16:06,16:31
PB100,PARABIAGO,Via Spagliardi PLESSO MAGGIOLINI,,07:20,07:53,07:50,07:53,,,12:04,13:13,14:28,14:54,14:58,,,