CORSA ,,,906,904,902,908,910
CADENZA,,,SC5,SC5,SC5,SC5,SC5
CD166,CORNAREDO,Via Mazzini ang.v.Brera,,,06:50,,
CD155,CORNAREDO,Via San Carlo ang.V.Ponti,,,06:51,,
PG055,Pregnana,Via ROMA n.17 ang.v.OLIVETTI,,,06:54,,
PG030,Pregnana,V.Roma ang.v.Puccini,,,06:57,,
PG099,Pregnana,Via Giovanni XXIII ang.v.Torino,,,06:59,,
PG101,Pregnana,V.Marconi Fr.Civ.67 STAZIONE FS,,,07:00,,
MN015,Mantegazza,Via Madonnina BIVIO,,,07:04,,
RG011,Rogorotto,V.Santa Caterina n.4,,,07:06,,
AL050,ARLUNO,Via Turati FR.58,,07:05,07:08,,
AL195,ARLUNO,P.zza A.De Gasperi MUNICIPIO,,07:07,07:09,,
AL196,ARLUNO,Via Marconi n.118,,07:09,07:13,,
OS011,OSSONA,Via Patrioti n.4,,07:14,07:18,,
CZ093,CASOREZZO,Via E.Mattei fr.Civ.1,,07:17,07:22,,
CZ094,CASOREZZO,Via Arluno ang.V.Delle Chiuse,,07:20,07:24,,
CZ080,CASOREZZO,Via Bertani n. fronte civ 19,,07:23,07:27,,
IN433,INVERUNO,Fraz.Furato V.Del Carso A.V.XXIV Maggio,,07:29,,,
IN351,INVERUNO,Via Lombardia fr Civ.7 IPSIA,,07:33,,,
IN235,INVERUNO,V.le Lombardia (ang.v.Magenta),,07:35,,,
IN403,INVERUNO,Via Marconi fr Civ.65,,07:37,,,
CG250,CUGGIONO,Via Garibaldi Fr Civ 32,,07:40,,,
CG143,CUGGIONO,Piazza Della Vittoria fr Civ. 12,,07:42,,,
CG178,CUGGIONO,Via Manzoni n. 1,,07:44,,,
CG998,CUGGIONO,V.IV Novembre dopo v.XI Sett.,,07:46,,,
BT215,Busto G.,Via Parabiago n. 61,,,07:32,,
BT300,Busto G.,Via Matteotti 5,,,07:33,,
BT776,Busto G.,Via Vincenzo Bellini civ.44,,,07:34,,
BT999,Busto G.,V.Busto A. n.131 (deposito),07:26,,,,
BT949,Busto G.,Via Per Busto A n. 91 (piscina),07:28,,,,
BT956,Busto G.,V.Montebianco fr Civ.17,07:30,,07:36,,
BT999,Busto G.,V.Busto A. n.131 (deposito),,,,12:55,13:45
BT949,Busto G.,Via Per Busto A n. 91 (piscina),,,,12:57,13:47
AC628,ARCONATE,Via Legnano n. 11,07:34,,07:42,13:01,13:51
AC035,ARCONATE,Via Concordia fr Civ.13,07:36,,07:45,13:03,13:52
BC250,BUSCATE,Via Milano n.19 ang.V.P.Micca,07:43,,07:54,13:12,13:58
CT011,Castano P.,P.le Don Milani OMN.IST.TORNO,07:51,07:54,08:04,13:19,14:06
CT110,Castano P.,Piazza Garibaldi,07:55,,,,
CT100,Castano P.,AUSTOSTAZIONE bus - STAZIONE Ferroviaria,08:00,,,,