CORSA ,,,901,911,903,905,913,907,917,919,909,921,915
CADENZA,,,FES,FES,FES,FES,FES,FES,FES,FES,FES,FES,FES
MD001,MILANO,MM Molino Dorino,08:10,09:10,10:20,11:20,13:00,14:10,15:10,16:30,17:40,18:40,19:50
VH238,VIGHIGNOLO,Via Mereghetti n.7,08:15,09:15,10:25,11:25,13:05,14:15,15:15,16:35,17:45,18:45,19:55
CD166,CORNAREDO,Via Mazzini ang.v.Brera,08:18,09:18,10:28,11:28,13:08,14:18,15:18,16:38,17:48,18:48,19:58
CD155,CORNAREDO,Via San Carlo ang.V.Ponti,08:20,09:20,10:30,11:30,13:10,14:20,15:20,16:40,17:50,18:50,20:00
PG055,Pregnana,Via ROMA n.17 ang.v.OLIVETTI,08:24,09:24,10:34,11:34,13:14,14:24,15:24,16:44,17:54,18:54,20:04
PG030,Pregnana,V.Roma ang.v.Puccini,08:25,09:25,10:35,11:35,13:15,14:25,15:25,16:45,17:55,18:55,20:05
PG099,Pregnana,Via Giovanni XXIII ang.v.Torino,08:27,09:27,10:37,11:37,13:17,14:27,15:27,16:47,17:57,18:57,20:07
PG101,Pregnana,V.Marconi Fr.Civ.67 STAZIONE FS,08:28,09:28,10:38,11:38,13:18,14:28,15:28,16:48,17:58,18:58,20:08
MN015,Mantegazza,Via Madonnina BIVIO,08:31,09:31,10:41,11:41,13:21,14:31,15:31,16:51,18:01,19:01,20:11
RG011,Rogorotto,V.Santa Caterina n.4,08:33,09:33,10:43,11:43,13:23,14:33,15:33,16:53,18:03,19:03,20:13
AL050,ARLUNO,Via Turati FR.58,08:36,09:36,10:46,11:46,13:26,14:36,15:36,16:56,18:06,19:06,20:16
AL195,ARLUNO,P.zza A.De Gasperi MUNICIPIO,08:37,09:37,10:47,11:47,13:27,14:37,15:37,16:59,18:07,19:07,20:17
AL802,ARLUNO,Via ADUA ang. Giovanni XXIII,08:40,09:40,10:50,11:50,13:30,14:40,15:41,17:01,18:11,19:10,20:21
OS011,OSSONA,Via Patrioti n.4,08:44,09:44,10:54,11:54,13:34,14:44,15:45,17:05,18:15,19:14,20:25
CZ093,CASOREZZO,Via E.Mattei fr.Civ.1,08:46,09:46,10:56,11:56,13:36,14:46,15:47,17:07,18:17,19:16,20:27
CZ094,CASOREZZO,Via Arluno ang.V.Delle Chiuse,08:48,09:48,10:58,11:58,13:38,14:48,15:49,17:09,18:19,19:18,20:29
CZ080,CASOREZZO,Via Bertani n. fronte civ 19,08:50,09:50,11:00,12:00,13:40,14:50,15:51,17:11,18:21,19:20,20:31
BT215,Busto G.,Via Parabiago n. 61,08:53,09:53,11:03,12:03,13:43,14:53,15:54,17:14,18:24,19:23,20:34
BT300,Busto G.,Via Matteotti 5,08:54,09:54,11:04,12:04,13:44,14:54,15:55,17:15,18:25,19:24,20:35
BT776,Busto G.,Via Vincenzo Bellini civ.44,08:56,09:56,11:06,12:06,13:46,14:56,15:57,17:17,18:27,19:27,20:37
BT956,Busto G.,V.Montebianco fr Civ.17,08:58,09:58,11:08,12:08,13:48,14:58,15:58,17:18,18:29,19:28,20:38
BT951,Busto G.,Via per Busto A. n. 90 (piscina),08:59,09:59,11:09,12:09,13:49,14:59,16:00,17:20,18:30,19:30,20:40
BT999,Busto G.,V.Busto A. n.131 (deposito),09:01,10:01,11:11,12:11,13:51,15:01,16:02,17:22,18:32,19:31,20:42