CORSA ,,,304,306,310,312,314,360,318,392,320,330,334,338,342,344,380,348,352
CADENZA,,,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB,SAB
CG143,CUGGIONO,Piazza Della Vittoria fr Civ. 12,,06:30,07:30,08:05,08:35,,09:35,10:35,11:35,12:30,13:35,14:35,15:35,16:35,,17:35,18:35
CG190,CUGGIONO,Via Fermo n.34 OSPEDALE,,06:31,07:31,08:06,08:36,,09:36,10:36,11:36,12:31,13:36,14:36,15:36,16:36,,17:36,18:36
IN285,INVERUNO,Via Marconi n. 57,,06:33,07:35,08:10,08:40,,09:40,10:40,11:40,12:35,13:40,14:40,15:38,16:40,,17:40,18:40
IN802,INVERUNO,Via Einaudi civ.6,,06:34,07:36,08:11,08:41,,09:41,10:41,11:41,12:36,13:41,14:41,15:39,16:41,,17:41,18:41
IN275,INVERUNO,V.le Lombardia (ang.v.Liguria),,06:36,07:37,08:12,08:42,,09:42,10:42,11:42,12:37,13:42,14:42,15:41,16:42,,17:42,18:42
IN350,INVERUNO,Via Lombardia n.5 IPSIA,,06:37,07:38,08:13,08:43,,09:43,10:43,11:43,12:38,13:43,14:43,15:42,16:43,,17:43,18:43
IN127,INVERUNO,V.Varese ang.V.Don Paganini,,06:42,07:42,08:17,08:47,,09:47,10:47,11:47,12:42,13:47,14:47,15:47,16:47,,17:47,18:47
AC127,ARCONATE,V.Beata Vergine ang.V.Dei Pioppi,,06:44,07:44,08:19,08:49,,09:49,10:49,11:49,12:44,13:49,14:49,15:50,16:49,,17:49,18:49
AC625,ARCONATE,Via Concordia n.9,,06:45,07:45,08:20,08:50,,09:50,10:50,11:50,12:45,13:50,14:50,15:51,16:50,,17:50,18:50
AC802,ARCONATE,Via Varese civ.44,,06:47,07:46,08:21,08:51,,09:51,10:51,11:51,12:46,13:51,14:51,15:52,16:51,,17:51,18:51
OC113,OLCELLA,VIA Montebello n.16,,06:49,07:47,08:22,08:52,,09:52,10:52,11:52,12:47,13:52,14:52,15:54,16:52,,17:52,18:52
DG801,DAIRAGO,V.Della Circonvallazione ang.V.Zara,,06:51,07:49,08:24,08:54,,09:54,10:54,11:54,12:49,13:54,14:54,15:56,16:54,,17:54,18:54
DG142,DAIRAGO,V. Damiano Chiesa civ.11,,06:52,07:51,08:26,08:56,,09:56,10:56,11:56,12:51,13:56,14:56,15:57,16:56,,17:56,18:56
DG097,DAIRAGO,Via Verdi n.24,,06:54,07:52,08:27,08:57,,09:57,10:57,11:57,12:52,13:57,14:57,15:59,16:57,,17:57,18:57
BT999,Busto G.,V.Busto A. n.131 (deposito),06:25,06:56,07:54,08:29,08:59,09:29,09:59,10:59,11:59,12:54,13:59,14:59,16:01,16:59,17:29,17:59,18:59
BT949,Busto G.,Via Per Busto A n. 91 (piscina),06:26,06:57,07:56,08:31,09:01,09:31,10:01,11:01,12:01,12:56,14:01,15:01,16:02,17:01,17:31,18:01,19:01
BT301,Busto G.,Via Buonarroti ang.v.Busto A.,06:27,06:59,07:57,08:32,09:02,09:32,10:02,11:02,12:02,12:57,14:02,15:02,16:04,17:02,17:32,18:02,19:02
BT703,Busto G.,Via Buonarroti a.v.Carroccio,06:28,07:00,07:59,08:34,09:05,09:34,10:04,11:04,12:04,12:59,14:04,15:04,16:05,17:04,17:34,18:04,19:04
BT704,Busto G.,Via Curiel a.v.De Amicis,06:30,07:02,08:01,08:36,09:07,09:36,10:06,11:06,12:06,13:01,14:06,15:06,16:07,17:06,17:36,18:06,19:06
VC801,Villa C.,V.Pietro Micca civ.17,06:32,07:04,08:03,08:38,09:09,09:38,10:08,11:08,12:08,13:03,14:08,15:08,16:09,17:08,17:38,18:08,19:08
VC050,Villa C.,Via A.Da Giussano n.32,06:34,07:06,08:04,08:39,09:10,09:39,10:09,11:09,12:09,13:04,14:09,15:09,16:11,17:09,17:39,18:09,19:09
VC051,Villa C.,Via A.Da Giussano n.50,06:35,07:07,08:06,08:41,09:12,09:41,10:11,11:11,12:11,13:06,14:11,15:11,16:12,17:11,17:41,18:11,19:11
SG801,S.Giorgio,V.Boccaccio ang.V.Magenta,06:37,07:10,08:08,08:43,09:15,09:44,10:14,11:14,12:13,13:08,14:13,15:13,16:15,17:13,17:43,18:13,19:13
SG050,S.Giorgio,Via Restelli Civ. 5,06:39,07:11,08:10,08:45,09:16,09:45,10:15,11:15,12:15,13:10,14:15,15:15,16:17,17:15,17:45,18:15,19:15
LG611,LEGNANO,V.XX Settembre a.V.S.Bernardino,06:43,07:15,08:16,08:51,09:22,09:51,10:21,11:21,12:21,13:16,14:21,15:21,16:22,17:21,17:51,18:21,19:21
LG805,LEGNANO,V.XX Settembre civ.7 (poste),06:45,07:17,08:19,08:54,09:25,09:54,10:24,11:24,12:24,13:19,14:23,15:24,16:24,17:24,17:54,18:24,19:24
LG090,LEGNANO,Piazza del Popolo FS,06:46,07:19,08:21,08:56,09:27,09:56,10:26,11:26,12:26,13:21,14:26,15:26,16:26,17:26,17:56,18:26,19:26
LG003,LEGNANO,Largo Tosi (lato banca),06:50,07:23,08:26,09:01,09:32,10:01,10:31,11:31,12:31,13:26,14:31,15:31,16:31,17:31,18:01,18:31,19:31
LG002,LEGNANO,C.so Sempione Loc Madonnina,06:52,07:25,,,,,,,,,,,,,,,
LG001,LEGNANO,C.so Sempione OSPEDALE VECCHIO,06:54,07:27,,,,,,,,,,,,,,,