CORSA ,,,108,106,104,190,110,224,124,184,282,132,218,118,120,180,666,126
CADENZA,,,SC5,SC5,FR5,SC5,FR5,FR5,FR5,FR5,SC5,FR5,SC5,SC5,SC5,FR5,FR5,FR5
VC005,Villa C.,Via Canova ang.V.Buonarroti,06:51,06:55,,,08:25,,,,,,,13:25,14:25,,15:50,
VC006,Villa C.,Via Canova ang.V.Perugino,06:53,06:57,,,08:28,,,,,,,13:28,14:28,,15:53,
BT701,Busto G.,Via Curiel,06:56,07:00,07:05,07:21,08:30,09:05,10:15,11:45,,12:35,,13:30,14:30,15:22,15:55,16:45
BT702,Busto G.,Via Don Longoni ang.v.Cellini,06:57,07:01,07:07,07:23,08:31,09:06,10:16,11:46,,12:36,,13:31,14:31,15:23,15:56,16:46
BT947,Busto G.,Via Buonarroti civ 3,06:59,07:03,07:09,07:25,08:33,09:08,10:18,11:48,,12:38,,13:33,14:33,15:25,15:58,16:48
BT951,Busto G.,Via per Busto A. n. 90 (piscina),07:01,07:05,07:11,07:27,08:35,09:10,10:20,11:50,,12:40,,13:35,14:35,15:27,16:00,16:50
DG099,DAIRAGO,Via Verdi n.13,07:04,07:08,07:14,07:30,08:38,09:13,10:23,11:53,12:35,12:43,13:20,13:38,14:38,15:30,16:03,16:53
DG141,DAIRAGO,Via Damiano Chiesa MUNICIPIO,07:06,07:10,07:16,07:32,08:40,09:14,10:24,11:54,12:36,12:44,13:21,13:39,14:39,15:31,16:05,16:54
BS451,BUSTO ARSIZIO,Via Boccaccio n.101 fr V.Lodi,07:11,07:15,07:25,07:43,08:46,09:20,10:30,12:00,12:42,12:50,13:28,13:44,14:46,15:38,16:10,17:01
BS455,BUSTO ARSIZIO,V.le Boccaccio ang.V.Ferrini,07:14,07:18,07:27,07:46,08:48,09:22,10:31,12:01,12:44,12:51,13:30,13:46,14:47,15:39,16:12,17:02
BS452,BUSTO ARSIZIO,Via Ugo Foscolo fr Civ. 8,07:17,07:21,07:31,07:52,08:52,09:26,10:35,12:05,12:47,12:55,13:34,13:50,14:50,15:42,16:15,17:07
BS011,BUSTO ARSIZIO,P.zza Trento e Trieste,07:20,07:25,07:34,07:56,08:56,09:29,10:38,12:08,12:50,12:58,13:36,13:53,14:53,15:45,16:17,17:10
BS001,BUSTO ARSIZIO,Via XX Settembre a.V.Marconi,07:24,07:29,07:38,08:00,08:59,09:33,10:42,12:12,12:53,13:02,13:40,13:57,14:57,15:48,16:21,
BS090,BUSTO ARSIZIO,Piazza Volontari della Liberta 'FS,07:28,07:34,07:41,08:03,09:04,09:36,10:45,12:15,12:57,13:05,13:44,14:01,15:00,15:52,16:25,
BS057,BUSTO ARSIZIO,Via Castelfidardo n. lato giardinetti,07:33,07:39,,,,,,,13:01,,,14:04,,15:56,16:28,17:17
BS212,BUSTO ARSIZIO,Corso Italia n.lato Ospedale,07:37,07:43,,,,,,,13:04,,,14:08,,15:59,16:32,17:20
BS071,BUSTO ARSIZIO,ITC TOSI Cascina de Poveri,07:45,07:50,,,,,,,13:10,,,14:12,,16:05,16:37,17:26