CORSA ,,,111,171,153,101,151,223,159,199,113,115,165,163,121,169,147,191,149
CADENZA,,,FR5,SC5,SC5,SC5,FR5,FR5,FR5,FR5,FR5,SC5,SC5,SC5,SC5,SC5,FR5,FR5,FR5
BS071,BUSTO ARSIZIO,ITC TOSI Cascina de Poveri,,07:50,07:55,,,,,,,13:15,,,14:15,,16:10,16:45,17:30
BS085,BUSTO ARSIZIO,Via Zappellini,,07:58,08:00,,,,,,,13:21,,,14:21,,16:15,16:51,17:36
BS090,BUSTO ARSIZIO,Piazza Volontari della Liberta'FS,07:46,,08:04,08:10,09:10,09:40,10:50,12:20,13:13,13:27,13:50,14:15,,15:05,,16:57,17:42
BS003,BUSTO ARSIZIO,Via Crespi ang. P.Trento e T.,07:52,08:04,08:10,08:14,09:14,09:44,10:54,12:24,13:18,13:32,13:56,14:20,14:29,15:11,16:21,17:02,17:47
BS027,BUSTO ARSIZIO,V.le Cadorna ang.V.Piemonte,07:56,08:09,08:15,08:19,09:18,09:48,10:58,12:28,13:22,13:36,14:00,14:24,14:33,15:15,16:25,17:06,17:52
BS456,BUSTO ARSIZIO,V.le Boccaccio ang.v.ferrini,08:00,08:13,08:19,08:23,09:21,09:51,11:02,12:32,13:26,13:40,14:04,14:28,14:37,15:19,16:29,17:10,17:56
BS087,BUSTO ARSIZIO,Viale Boccaccio,08:04,08:17,08:23,08:27,09:24,09:54,11:05,12:35,13:29,13:43,14:07,14:31,14:40,15:22,16:32,17:13,17:59
DG142,DAIRAGO,V. Damiano Chiesa civ.11,08:08,08:25,08:30,08:35,09:31,10:01,11:12,12:41,13:35,13:49,14:13,14:37,14:46,15:28,16:38,17:19,18:05
DG097,DAIRAGO,Via Verdi n.24,08:11,08:27,08:32,08:37,09:32,10:02,11:13,12:42,13:36,13:50,14:14,14:38,14:47,15:29,16:39,17:20,18:06
BT949,Busto G.,Via Per Busto A n. 91 (piscina),,08:31,,,09:36,10:05,11:16,12:45,13:39,13:54,14:17,14:41,14:51,15:32,16:42,17:24,18:10
BT301,Busto G.,Via Buonarroti ang.v.Busto A.,,08:33,,,09:38,10:07,11:18,12:47,13:42,13:56,14:19,14:44,14:53,15:34,16:44,17:26,18:12
BT703,Busto G.,Via Buonarroti a.v.Carroccio,,08:34,,,09:39,10:08,11:19,12:48,13:43,13:57,14:20,14:45,14:54,15:35,16:45,17:27,18:13
BT704,Busto G.,Via Curiel a.v.De Amicis,,08:36,,,09:41,10:10,11:21,12:50,13:45,13:59,14:22,14:47,14:56,15:37,16:47,17:29,18:15
VC050,Villa C.,Via A.Da Giussano n.32,08:18,08:39,08:40,08:44,,,,,,14:02,,,14:59,,,17:32,
VC051,Villa C.,Via A.Da Giussano n.50,08:20,08:41,08:42,08:46,,,,,,14:03,,,15:00,,,17:33,