CORSA ,,,933,905,907,949,909,951,953
CADENZA,,,SC5,SC5,SC5,SC5,SC5,SC5,SC5
CT100,Castano P.,AUSTOSTAZIONE bus - STAZIONE Ferroviaria,08:03,,,,,,
CT050,Castano P.,Via Tadini n.16,08:05,,,,,,
CT001,Castano P.,P.le Don Milani OMN. IST.TORNO,08:08,13:25,13:25,14:20,14:25,15:25,16:20
BC211,BUSCATE,Via Milano n.26,08:14,13:31,13:31,14:26,14:30,15:31,16:26
CG999,CUGGIONO,V.IV Novembre v.XI Sett. dir MI,,,13:37,,14:36,,
CG149,CUGGIONO,Via San Rocco n. 89,,,13:39,,14:38,,
CG143,CUGGIONO,Piazza Della Vittoria fr Civ. 12,,,13:40,,14:39,,
CG190,CUGGIONO,Via Fermo n.34 OSPEDALE,,,13:41,,14:40,,
IN285,INVERUNO,Via Marconi n. 57,,,13:43,,14:42,,
IN275,INVERUNO,V.le Lombardia (ang.v.Liguria),,,13:46,,14:45,,
IN350,INVERUNO,Via Lombardia n.5 IPSIA,,,13:49,,14:48,,
IN375,INVERUNO,FRAZ.Furato V.XXIV Maggio,,,13:51,,14:50,,
AC625,ARCONATE,Via Concordia n.9,08:21,13:39,,14:33,,15:38,16:33
AC627,ARCONATE,Via Legnano n. 28,08:23,13:40,,14:35,,15:40,16:35
BT951,Busto G.,Via per Busto A. n. 90 (piscina),08:26,,,,,,
BT999,Busto G.,V.Busto A. n.131 (deposito),08:27,,,,,,
BT205,Busto G.,Via Busto A. fr Civ.48,,13:44,,14:38,,15:43,16:38
BT775,Busto G.,Via Giacomo Rossini civ.35,,13:46,,14:39,,15:44,16:39
BT400,Busto G.,Via Matteotti 6,,13:49,,14:40,,15:45,16:40
BT211,Busto G.,Via Parabiago n.32,,13:50,,14:41,,15:46,16:41
CZ010,CASOREZZO,Via Busto Gar n. ang.V.S.Salvatore,,13:53,,14:44,,15:49,16:44
IN433,INVERUNO,Fraz.Furato V.Del Carso A.V.XXIV Maggio,,,,,,,16:50
CZ088,CASOREZZO,Via Bertani ang.V.Parabiago,,13:55,13:56,14:46,14:55,15:51,
CZ070,CASOREZZO,Via Ossona n. LATO AREA ZUCCHI,,13:58,13:58,14:49,14:57,15:54,
OS001,OSSONA,Via Patriotti fr Civ. 118 A,,14:00,14:01,,15:00,15:57,
AL040,ARLUNO,Via Giovanni XXIII n.43,,14:05,14:04,,15:04,16:01,
AL501,ARLUNO,Piazza Pozzo Bonelli fr Chiesa,,14:07,14:05,,15:05,16:02,
AL185,ARLUNO,Piazza A.De Gasperi,,14:09,14:07,,15:07,16:04,
AL051,ARLUNO,Via Turati 58,,14:12,14:09,,15:09,16:06,
RG001,Rogorotto,Via Santa Caterina n.5,,14:14,14:12,,,,
MN021,Mantegazza,Via Madonnina BIVIO,,14:15,14:14,,,,