CORSA ,,,902,922,904,906,908,950,952,910,944,946,914,
CADENZA,,,FES,FES,FES,FES,FES,FES,FES,FES,FES,FES,FES,
BT999,Busto G.,V.Busto A. n.131 (deposito),07:00,08:00,09:05,10:10,11:50,13:00,14:00,15:20,16:25,17:30,18:40,
BT949,Busto G.,Via Per Busto A n. 91 (piscina),07:01,08:01,09:06,10:11,11:51,13:01,14:01,15:21,16:26,17:31,18:41,
BT205,Busto G.,Via Busto A. fr Civ.48,07:02,08:02,09:07,10:12,11:52,13:02,14:02,15:22,16:27,17:32,18:42,
BT775,Busto G.,Via Giacomo Rossini civ.35,07:04,08:04,09:09,10:14,11:54,13:04,14:04,15:24,16:29,17:34,18:44,
BT400,Busto G.,Via Matteotti 6,07:06,08:06,09:11,10:16,11:56,13:06,14:06,15:26,16:31,17:36,18:46,
BT211,Busto G.,Via Parabiago n.32,07:07,08:07,09:12,10:17,11:57,13:07,14:07,15:27,16:32,17:37,18:47,
CZ010,CASOREZZO,Via Busto Gar n. ang.V.S.Salvatore,07:09,08:09,09:14,10:19,11:59,13:09,14:09,15:29,16:34,17:39,18:49,
CZ088,CASOREZZO,Via Bertani ang.V.Parabiago,07:11,08:11,09:16,10:21,12:01,13:11,14:11,15:31,16:36,17:41,18:51,
CZ070,CASOREZZO,Via Ossona n. LATO AREA ZUCCHI,07:13,08:13,09:18,10:23,12:03,13:13,14:13,15:33,16:38,17:43,18:53,
OS001,OSSONA,Via Patriotti fr Civ. 118 A,07:15,08:15,09:20,10:25,12:05,13:15,14:15,15:35,16:40,17:45,18:55,
AL801,ARLUNO,Via Adua ang. GIovanni XXIII,07:19,08:19,09:24,10:29,12:09,13:19,14:19,15:39,16:44,17:49,18:59,
AL185,ARLUNO,Piazza A.De Gasperi,07:23,08:23,09:28,10:33,12:13,13:23,14:23,15:43,16:48,17:53,19:03,
AL051,ARLUNO,Via Turati 58,07:26,08:26,09:31,10:36,12:16,13:26,14:26,15:46,16:51,17:56,19:06,
RG001,Rogorotto,Via Santa Caterina n.5,07:28,08:28,09:33,10:38,12:18,13:28,14:28,15:48,16:53,17:58,19:08,
MN021,Mantegazza,Via Madonnina BIVIO,07:30,08:30,09:35,10:40,12:20,13:30,14:30,15:50,16:55,18:00,19:10,
PG008,Pregnana,V.Marconi a.V.Gorizia (Rondo'),07:33,08:33,09:38,10:43,12:23,13:33,14:33,15:53,16:58,18:03,19:13,
PG102,Pregnana,V.Marconi Fr.Civ.146 STAZIONE FS,07:34,08:34,09:39,10:44,12:24,13:34,14:34,15:54,16:59,18:04,19:14,
PG009,Pregnana,V.Giovanni XXIII civ.55,07:35,08:35,09:40,10:45,12:25,13:35,14:35,15:55,17:00,18:05,19:15,
PG031,Pregnana,V.Roma ang. v. Carducci,07:37,08:37,09:42,10:47,12:27,13:37,14:37,15:57,17:02,18:07,19:17,
PG005,Pregnana,Via ROMA ang.v.OLIVETTI,07:38,08:38,09:43,10:48,12:28,13:38,14:38,15:58,17:03,18:08,19:18,
CD150,CORNAREDO,Via San Carlo ang.V.A.Ponti,07:42,08:42,09:47,10:52,12:32,13:42,14:42,16:02,17:07,18:12,19:22,
CD160,CORNAREDO,Via Mazzini ang.V.Brera,07:43,08:43,09:48,10:53,12:33,13:43,14:43,16:03,17:08,18:13,19:23,
VH237,VIGHIGNOLO,Via Mereghetti n. 22,07:46,08:46,09:51,10:56,12:36,13:46,14:46,16:06,17:11,18:16,19:26,
MD111,MILANO,MM MOLINO DORINO ARRIVO,07:52,08:52,09:57,11:02,12:42,13:52,14:52,16:12,17:17,18:22,19:32,